"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","structure.c.24.37..24.72..25.075..25.425..25.78..26.13..26.47..","structure.c.18.568..19.0795..19.619..20.18..20.7295..21.22925..","structure.c.29.421..29.6505..29.87025..30.0805..30.2805..30.49025..","structure.c.18.455..19.005..19.535..20.06..20.59..21.105..21.62..","structure.c.14.13975..14.9..15.649..16.389..17.0995..17.77975..","structure.c.21.641..22.0705..22.5005..22.91..23.31..23.72..24.12.."
"298",29.7,69.88,61.6675,87.69975,79.48,71.9265,84.53025
"299",29.8,69.93,61.6775,87.889,79.53,71.9465,84.61025
"300",29.9,69.975,61.69725,88.078,79.58,71.9665,84.6805
"301",30,70.025,61.71725,88.267,79.63,71.977,84.7605
"302",30.1,70.07,61.737,88.45625,79.68,71.997,84.8405
"303",30.2,70.125,61.75675,88.64525,79.725,72.017,84.92
"304",30.3,70.175,61.767,88.83425,79.765,72.037,84.97075
"305",30.4,70.22,61.78675,89.02325,79.805,72.057,85.02125
"306",30.5,70.27,61.8065,89.2025,79.85,72.077,85.072
"307",30.6,70.32,61.81675,89.3915,79.895,72.097,85.12275
"308",30.7,70.37,61.8365,89.5805,79.945,72.10725,85.17325
"309",30.8,70.42,61.85625,89.77,80,72.12725,85.224
"310",30.9,70.46,61.86625,89.96,80.04,72.14725,85.2745
"311",31,70.505,61.88625,90.15,80.08,72.1575,85.325
"312",31.1,70.545,61.89625,90.34,80.13,72.1775,85.37575
"313",31.2,70.59,61.916,90.53,80.17,72.1975,85.4555
"314",31.3,70.63,61.926,90.71,80.215,72.20775,85.53525
"315",31.4,70.67,61.936,90.9,80.255,72.22775,85.61525
"316",31.5,70.71,61.946,91.09,80.295,72.2475,85.695
"317",31.6,70.75,61.96575,91.28,80.33,72.25775,85.765
"318",31.7,70.79,61.976,91.47,80.37,72.27775,85.84475
"319",31.8,70.83,61.986,91.66,80.41,72.288,85.9245
"320",31.9,70.87,62.00575,91.85,80.46,72.308,85.9945
"321",32,70.905,62.01575,92.03,80.505,72.318,86.07425
"322",32.1,70.945,62.02575,92.22,80.55,72.338,86.14425
"323",32.2,70.98,62.03575,92.41,80.595,72.34825,86.224
"324",32.3,71.02,62.04575,92.59025,80.64,72.35825,86.29375
"325",32.4,71.055,62.0655,92.751,80.68,72.3685,86.3735
"326",32.5,71.1,62.0755,92.92125,80.715,72.37875,86.4435
"327",32.6,71.14,62.0855,93.082,80.75,72.38875,86.513
"328",32.7,71.175,62.0955,93.2525,80.785,72.399,86.5925
"329",32.8,71.215,62.1055,93.41325,80.825,72.409,86.66225
"330",32.9,71.255,62.1155,93.574,80.865,72.41925,86.732
"331",33,71.295,62.1255,93.744,80.905,72.4295,86.81125
"332",33.1,71.335,62.1355,93.90375,80.94,72.4395,86.89075
"333",33.2,71.375,62.1455,94.06375,80.98,72.44,86.9605
"334",33.3,71.41,62.1555,94.2335,81.01,72.45,87.03025
"335",33.4,71.45,62.1655,94.39325,81.04,72.46975,87.09075
"336",33.5,71.49,62.185,94.55325,81.075,72.47975,87.16075
"337",33.6,71.525,62.195,94.72275,81.105,72.49,87.231
"338",33.7,71.565,62.205,94.88275,81.14,72.50975,87.29125
"339",33.8,71.595,62.215,95.0425,81.17,72.51975,87.38075
"340",33.9,71.635,62.225,95.2025,81.21,72.53975,87.4605
