Age,Lower LAA,Upper LAA,Lower LAA T&R,Upper LAA T&R
34.6,66.56364362,102.9715793,42.89802066,82.74847864
34.7,66.56368192,103.1083303,42.89813443,82.847197
34.8,66.56371909,103.2445542,42.8982453,82.94553334
34.9,66.56375515,103.3802531,42.89835336,83.04345152
35,66.56379014,103.5154289,42.89845867,83.14095332
35.1,66.56382409,103.6500837,42.89856131,83.23804052
35.2,66.56385703,103.7842195,42.89866134,83.3337844
35.3,66.56388899,103.9178384,42.89875883,83.42776389
35.4,66.56392001,104.0509422,42.89885385,83.52344051
35.5,66.5639501,104.183533,42.89894645,83.61915791
35.6,66.5639793,104.3156128,42.8990367,83.74165079
35.7,66.56400763,104.4471835,42.89912465,83.87454591
35.8,66.56403512,104.5782471,42.89921038,84.00707896
35.9,66.56406179,104.7088055,42.89929392,84.13925092
36,66.56408767,104.8391674,42.89937534,84.27106279
36.1,66.56411278,104.9693829,42.8994547,84.40286949
36.2,66.56413714,105.099099,42.89953204,84.53442709
36.3,66.56416078,105.2283175,42.89960741,84.64342602
36.4,66.56418372,105.3570405,42.89968087,84.74861372
36.5,66.56420598,105.4852698,42.89975247,84.8534135
36.6,66.56422758,105.6130072,42.89982225,84.95794181
36.7,66.56424853,105.739051,42.89989025,85.06250315
36.8,66.56426886,105.8470275,42.89995653,85.16668156
36.9,66.56428859,105.9425391,42.90002112,85.27047846
37,66.56430773,106.0161065,42.90008407,85.37389523
37.1,66.56432631,106.0892392,42.90014543,85.45768009
37.2,66.56434433,106.1619398,42.90020522,85.51990339
37.3,66.56436181,106.2342109,42.9002635,85.64684534
37.4,66.56437878,106.306055,42.90032029,85.77447229
37.5,66.56439524,106.3857551,42.90037565,85.88470223
37.6,66.56441122,106.50815,42.9004296,86.012235
37.7,66.56442671,106.6300801,42.90048218,86.1465774
37.8,66.56444175,106.751547,42.90053342,86.28004339
37.9,66.56445634,106.8725525,42.90058336,86.40596163
38,66.5644705,106.9930985,42.90063203,86.53154136
38.1,66.56448424,107.1131866,42.90067947,86.65678347
38.2,66.56449757,107.2334679,42.9007257,86.7816889
38.3,66.5645105,107.3542957,42.90077076,86.90625853
38.4,66.56452305,107.47467,42.90081467,87.03049327
38.5,66.56453523,107.5945926,42.90085747,87.15651979
38.6,66.56454704,107.7029655,42.90089918,87.28848435
38.7,66.56455851,107.802507,42.90093983,87.42013165
38.8,66.56456963,107.901609,42.90097945,87.55146246
38.9,66.56458042,108.0002734,42.90101806,87.68247753
39,66.56459089,108.0985022,42.9010557,87.76951614
39.1,66.56460106,108.1962972,42.90109237,87.91546542
39.2,66.56461091,108.2936604,42.90112812,88.07469528
39.3,66.56462048,108.3905938,42.90116296,88.20417967
39.4,66.56462976,108.4870991,42.90119691,88.33335176
39.5,66.56463877,108.5831784,42.90123,88.46221228
39.6,66.56464751,108.7013998,42.90361177,88.59080606
39.7,66.56465599,108.8274276,42.92897936,88.69966443
39.8,66.56466421,108.9358687,42.95420024,88.74145981
39.9,66.5646722,109.0006982,42.97927526,88.9275309
40,66.56467994,109.0651495,42.99984309,89.10349171
50,66.56492052,116.5742447,43.00241902,102.3324848
