"","structure.c.0..0.1..0.2..0.3..0.4..0.5..0.6..0.7..0.8..0.9..1..","c.9.845..10.99..12.045..13.13..14.15..15.2..16.175..17.14..18.08..","c..4.991...2.46...0.06..2.2765..4.4545..6.52225..8.43175..10.2055..","c.18.64025..19.11025..19.58..20.0525..20.55275..21.12025..21.62225..","c.24.88..25.275..25.655..26.045..26.43..26.785..27.165..27.56..","c..4.72...3.06...0.862249999999999..0.4325..1.6995..3.17..4.97125..","c.29.781..30.08025..30.3105..30.55075..30.83025..31.15025..31.42125..","c.29..29.315..29.635..29.955..30.335..30.68..30.995..31.305..","c..32.17275...29.96575...27.80875...25.702...23.6355...21.6095..","c.45.81..45.94..46.07..46.19025..46.32025..46.4405..46.5705.."
"191",19,52.735,43.84825,77.9145,70.36,56.77,79.56025,69.96,66.1795,73.7605
"192",19.1,52.74,43.84825,78.05425,70.52,56.77,79.81,70.05,66.27,73.8505
"193",19.2,52.745,43.84825,78.18425,70.705,56.77,80.0405,70.17,66.3285,73.94025
"194",19.3,52.75,43.84825,78.324,70.85,56.78,80.3,70.29,66.38975,74.05
"195",19.4,52.755,43.84825,78.454,70.98,56.78,80.55025,70.41,66.5275,74.1605
"196",19.5,52.765,43.84825,78.59375,71.16,56.78,80.77075,70.525,66.66675,74.28075
"197",19.6,52.765,43.84825,78.72375,71.31,56.78,80.99125,70.64,66.777,74.401
"198",19.7,52.77,43.84825,78.8535,71.435,56.78,81.22125,70.755,66.848,74.52125
"199",19.8,52.775,43.84825,78.9835,71.575,56.78,81.47075,70.86,66.88975,74.65125
"200",19.9,52.78,43.84825,79.11325,71.71,56.78,81.72,70.96,67.0095,74.7715
"201",20,52.78,43.84825,79.243,71.845,56.78,81.94,71.08,67.12925,74.9015
"202",20.1,52.78,43.84825,79.36325,72.005,56.79,82.16,71.195,67.24925,75.0215
"203",20.2,52.79,43.84825,79.493,72.125,56.79,82.39,71.32,67.3395,75.14025
"204",20.3,52.795,43.84825,79.613,72.265,56.79,82.61,71.425,67.46925,75.21125
"205",20.4,52.8,43.84825,79.7425,72.405,56.79,82.83,71.535,67.54,75.3215
"206",20.5,52.81,43.84825,79.8625,72.545,56.79,83.05,71.65,67.62875,75.44075
"207",20.6,52.815,43.84825,79.9825,72.7,56.79,83.26,71.765,67.69925,75.56025
"208",20.7,52.82,43.84825,80.10225,72.835,56.79,83.48,71.88,67.78925,75.6405
"209",20.8,52.825,43.84825,80.22225,73.015,56.79,83.7,71.99,67.85875,75.77025
"210",20.9,52.825,43.84825,80.342,73.155,56.79,83.92,72.11,67.87,75.88075
"211",21,52.835,43.84825,80.462,73.275,56.79,84.13,72.23,67.919,75.98025
"212",21.1,52.835,43.84825,80.58175,73.365,56.79,84.3605,72.345,67.97925,76.0905
"213",21.2,52.835,43.84825,80.7015,73.47,56.79,84.6205,72.46,68.0495,76.21
"214",21.3,52.84,43.84825,80.8115,73.54,56.79,84.88075,72.56,68.15825,76.30025
"215",21.4,52.845,43.84825,80.95075,73.675,56.8,85.14025,72.665,68.18875,76.3905
"216",21.5,52.85,43.84825,81.10925,73.825,56.8,85.371,72.78,68.2095,76.4805
"217",21.6,52.855,43.84825,81.268,73.95,56.8,85.5915,72.89,68.2395,76.57
"218",21.7,52.86,43.84825,81.417,74.085,56.8,85.821,73.01,68.28875,76.66
"219",21.8,52.865,43.84825,81.5755,74.21,56.8,86.04075,73.11,68.33775,76.74025
"220",21.9,52.87,43.84825,81.73425,74.325,56.8,86.28,73.21,68.39675,76.8405
"221",22,52.87,43.84825,81.883,74.455,56.8,86.53025,73.31,68.4085,76.9605
"222",22.1,52.88,43.84825,82.03175,74.6,56.8,86.8,73.41,68.44925,77.05025
"223",22.2,52.88,43.84825,82.19025,74.745,56.8,87.06,73.51,68.537,77.1505
"224",22.3,52.88,43.84825,82.301,74.855,56.8,87.32,73.6,68.58675,77.28025
"225",22.4,52.885,43.84825,82.40225,74.95,56.8,87.55,73.71,68.63775,77.41
"226",22.5,52.89,43.84825,82.57175,75.07,56.8,87.76,73.825,68.68875,77.5105
"227",22.6,52.89,43.84825,82.74125,75.19,56.8,87.98,73.92,68.73975,77.60125
"228",22.7,52.895,43.84825,82.91075,75.29,56.8,88.19,74.02,68.78975,77.70175
"229",22.8,52.895,43.84825,83.08025,75.385,56.8,88.41,74.12,68.8295,77.8215
"230",22.9,52.895,43.84825,83.2405,75.53,56.8,88.62,74.23,68.83975,77.94125
"231",23,52.9,43.84825,83.391,75.67,56.8,88.83025,74.33,68.84975,78.0805
"232",23.1,52.9,43.84825,83.53175,75.79,56.8,89.05075,74.43,68.86925,78.2005
"233",23.2,52.905,43.84825,83.68225,75.91,56.8,89.291,74.53,68.88875,78.31075
"234",23.3,52.905,43.84825,83.823,76.035,56.8,89.531,74.62,68.90825,78.411
"235",23.4,52.905,43.84825,83.97325,76.15,56.8,89.76125,74.705,68.92775,78.521
"236",23.5,52.905,43.84825,84.114,76.28,56.8,90.00025,74.8,68.94725,78.621
"237",23.6,52.905,43.84825,84.25475,76.415,56.8,90.201,74.9,68.96675,78.7305
"238",23.7,52.91,43.84825,84.405,76.535,56.8,90.402,75.01,68.98625,78.83
"239",23.8,52.91,43.84825,84.54575,76.63,56.8,90.593,75.115,69.00575,78.93025
